# Dihedral Angle (Degree),  Occurrence,  Occurrence
0.5000000000,  76.61543596,  75.97397484
1.500000000,  76.90792854,  76.39197660
2.500000000,  76.23858702,  75.82006425
3.500000000,  76.83287160,  75.02923858
4.500000000,  76.86863168,  76.24740730
5.500000000,  78.09447019,  76.52321930
6.500000000,  76.95881001,  75.96050989
7.500000000,  77.06936603,  76.44580475
8.500000000,  76.79405958,  77.18163605
9.500000000,  77.49405904,  75.87063216
10.50000000,  76.78985512,  75.13742656
11.50000000,  77.88634833,  76.50367232
12.50000000,  77.70428964,  77.42350344
13.50000000,  77.91236739,  77.76085476
14.50000000,  77.47676304,  78.39377355
15.50000000,  78.32181512,  78.77766229
16.50000000,  78.81720358,  77.53749219
17.50000000,  77.40784396,  78.36141519
18.50000000,  79.25580715,  78.69658898
19.50000000,  80.19419355,  79.53569619
20.50000000,  79.91704497,  80.92436345
21.50000000,  80.05022118,  81.36137692
22.50000000,  82.26592446,  82.74791486
23.50000000,  83.07839847,  83.13988510
24.50000000,  83.46281697,  82.76056384
25.50000000,  83.90487926,  82.83055134
26.50000000,  85.53932100,  84.24829222
27.50000000,  85.85587238,  84.49553534
28.50000000,  86.63087913,  85.88704281
29.50000000,  88.75376973,  86.76247067
30.50000000,  89.89353247,  88.61238986
31.50000000,  89.71419336,  88.29803941
32.50000000,  91.42047828,  90.73799422
33.50000000,  94.29043396,  90.43028631
34.50000000,  93.88365958,  92.13999810
35.50000000,  96.62727097,  94.42463668
36.50000000,  96.92764240,  94.96264863
37.50000000,  97.24824836,  96.66576368
38.50000000,  97.70855089,  98.05367601
39.50000000,  100.4184781,  98.65815948
40.50000000,  102.1443947,  100.9596505
41.50000000,  104.3521694,  102.8381512
42.50000000,  105.6659182,  103.4969598
43.50000000,  106.6380726,  105.9862115
44.50000000,  108.6009873,  106.9281504
45.50000000,  109.2774594,  109.8160147
46.50000000,  109.4555809,  108.5924862
47.50000000,  113.1571599,  111.2834703
48.50000000,  113.8098396,  111.7936649
49.50000000,  112.9268151,  113.9536678
50.50000000,  115.1694804,  115.3071384
51.50000000,  117.3908831,  117.2336115
52.50000000,  117.6548145,  118.5994768
53.50000000,  120.4536189,  119.5399187
54.50000000,  121.4973286,  119.3816110
55.50000000,  119.9929598,  121.1878689
56.50000000,  120.9558651,  121.7868333
57.50000000,  122.3762551,  120.9918102
58.50000000,  121.7389172,  121.6968142
59.50000000,  122.3533149,  123.3100343
60.50000000,  120.5735751,  121.8776940
61.50000000,  120.1627384,  121.8895612
62.50000000,  120.3620183,  122.5892575
63.50000000,  119.4907455,  120.9035077
64.50000000,  120.1030699,  119.8213866
65.50000000,  118.0842909,  119.5509659
66.50000000,  116.6459370,  117.6957555
67.50000000,  116.6653660,  115.8408970
68.50000000,  114.9936377,  116.5399116
69.50000000,  113.0798719,  113.5290525
70.50000000,  109.7443013,  111.5552740
71.50000000,  108.1042765,  110.4337215
72.50000000,  106.5214477,  107.4874900
73.50000000,  102.9717528,  106.9112647
74.50000000,  102.3516142,  104.7891827
75.50000000,  102.1010655,  101.5784265
76.50000000,  99.24324315,  99.00314515
77.50000000,  95.52533087,  97.33427620
78.50000000,  93.47509444,  96.30499064
79.50000000,  92.31253311,  93.78969841
80.50000000,  90.33423247,  90.02299482
81.50000000,  87.66215298,  90.13660646
82.50000000,  85.26216757,  90.14025995
83.50000000,  84.92843458,  86.58157300
84.50000000,  83.21838645,  84.26069768
85.50000000,  81.36863051,  83.55851490
86.50000000,  80.25148527,  82.53138581
87.50000000,  79.68567483,  81.82575624
88.50000000,  77.76111792,  80.65935862
89.50000000,  77.00685057,  80.14885940
90.50000000,  77.32918384,  78.82977554
91.50000000,  78.02945568,  77.70509933
92.50000000,  78.07630272,  79.62178993
93.50000000,  78.32478166,  79.71517789
94.50000000,  78.00690198,  81.11595257
95.50000000,  78.78747051,  81.64356932
96.50000000,  80.20521153,  83.10632068
97.50000000,  82.08227484,  84.98592741
98.50000000,  82.79949420,  85.62706932
99.50000000,  85.97022019,  87.25038638
100.5000000,  87.49569722,  88.85319461
101.5000000,  91.22096303,  92.52002815
102.5000000,  93.76824435,  94.94145714
103.5000000,  96.05306858,  97.71340531
104.5000000,  99.29711243,  101.4798606
105.5000000,  103.9962835,  104.3938658
106.5000000,  106.0979366,  105.9815045
107.5000000,  109.3308514,  108.1933852
108.5000000,  112.9905711,  112.2643035
109.5000000,  115.6408139,  115.4406605
110.5000000,  119.7164267,  118.8174552
111.5000000,  122.7873923,  121.8842613
112.5000000,  125.6465719,  124.7176238
113.5000000,  127.4579673,  126.9259559
114.5000000,  129.4604557,  130.4853977
115.5000000,  130.8018941,  131.2563923
116.5000000,  133.0491402,  131.7209570
117.5000000,  134.0674308,  131.6345468
118.5000000,  136.1775363,  135.7974460
119.5000000,  136.5204790,  136.7185326
120.5000000,  136.0039026,  136.4458879
121.5000000,  135.5495860,  136.2163904
122.5000000,  135.5994778,  134.4750378
123.5000000,  134.3622395,  134.7745599
124.5000000,  132.8401408,  132.4538657
125.5000000,  133.2264492,  132.9955841
126.5000000,  132.6726159,  131.4705278
127.5000000,  130.6284445,  127.7909503
128.5000000,  127.5497023,  126.2734461
129.5000000,  125.3962754,  125.2406316
130.5000000,  122.3683571,  123.9068199
131.5000000,  119.5652008,  120.1184121
132.5000000,  117.2295793,  118.6513976
133.5000000,  115.0730973,  116.2129174
134.5000000,  112.7401684,  112.5707544
135.5000000,  110.2060124,  110.7485919
136.5000000,  107.8462131,  107.5880334
137.5000000,  104.6890978,  104.6164714
138.5000000,  102.1759787,  103.2287758
139.5000000,  98.48066878,  100.6611733
140.5000000,  98.04509602,  98.45291684
141.5000000,  95.36256382,  97.15325083
142.5000000,  94.28244697,  94.31677532
143.5000000,  91.57143934,  92.22655721
144.5000000,  89.89382079,  91.81073896
145.5000000,  88.38903548,  91.45989148
146.5000000,  87.71439673,  89.23292457
147.5000000,  88.40841119,  88.73665342
148.5000000,  86.19349314,  87.89468570
149.5000000,  84.03856643,  86.31127941
150.5000000,  84.45363034,  86.33579718
151.5000000,  85.11576530,  86.29153764
152.5000000,  85.56130976,  86.21242564
153.5000000,  84.58552983,  85.64766464
154.5000000,  85.11639480,  86.80279932
155.5000000,  85.27828376,  87.45382693
156.5000000,  85.05283986,  88.64402413
157.5000000,  85.92062687,  89.06669339
158.5000000,  87.84467498,  90.06116226
159.5000000,  89.91854195,  91.14185747
160.5000000,  90.72513738,  93.41883924
161.5000000,  91.59065635,  94.06845087
162.5000000,  92.43747042,  96.07524988
163.5000000,  93.43055430,  96.95292971
164.5000000,  95.28229211,  98.37590066
165.5000000,  97.01786430,  100.9888021
166.5000000,  97.83745793,  101.3307191
167.5000000,  100.2295192,  103.0547260
168.5000000,  101.2293679,  103.4161931
169.5000000,  103.2500581,  104.7670962
170.5000000,  103.1310651,  107.1917818
171.5000000,  104.2484337,  109.3480384
172.5000000,  105.8571865,  110.6726328
173.5000000,  109.4149001,  112.3029149
174.5000000,  110.1888338,  113.2154042
175.5000000,  110.6397135,  113.1512972
176.5000000,  109.9835591,  113.5087353
177.5000000,  110.2977196,  114.4026717
178.5000000,  111.1650846,  114.8230278
179.5000000,  111.3184435,  113.5325311
180.5000000,  110.0410806,  115.1657561
181.5000000,  111.2758977,  116.2601745
182.5000000,  111.2260800,  113.6507323
183.5000000,  110.8064559,  113.6355654
184.5000000,  109.3118921,  113.8211594
185.5000000,  109.4407927,  111.7684036
186.5000000,  107.6366194,  110.6333922
187.5000000,  106.2168156,  110.3700881
188.5000000,  105.8892933,  108.7074931
189.5000000,  104.0706565,  107.0441655
190.5000000,  102.9171174,  106.5259356
191.5000000,  102.1543950,  104.1837685
192.5000000,  99.42461571,  102.8698991
193.5000000,  98.47227216,  100.8889816
194.5000000,  96.00562904,  99.48701873
195.5000000,  95.76960702,  97.20190311
196.5000000,  93.88065781,  97.03524066
197.5000000,  91.86609513,  95.90789392
198.5000000,  90.56919684,  93.71302139
199.5000000,  89.63001320,  91.93402659
200.5000000,  88.37063070,  92.32330789
201.5000000,  87.96137970,  89.62354865
202.5000000,  86.88001252,  89.99612560
203.5000000,  86.16371918,  87.81378561
204.5000000,  85.93789459,  88.25020105
205.5000000,  84.25449732,  87.19480856
206.5000000,  84.52065049,  85.78855167
207.5000000,  85.33801047,  86.72734634
208.5000000,  85.61358039,  86.79225213
209.5000000,  83.88732500,  86.79469718
210.5000000,  85.23618005,  87.74294631
211.5000000,  84.91286549,  88.17340891
212.5000000,  87.58768052,  90.24977275
213.5000000,  88.17602642,  90.60944806
214.5000000,  91.04402867,  91.60516063
215.5000000,  91.40180014,  93.58515158
216.5000000,  92.78022260,  95.29683218
217.5000000,  96.48590827,  97.44298159
218.5000000,  97.17280364,  99.64382726
219.5000000,  98.58860912,  101.4775497
220.5000000,  101.1061401,  101.8166006
221.5000000,  104.0290498,  104.1380125
222.5000000,  106.6668413,  107.1980607
223.5000000,  108.3762152,  109.9423118
224.5000000,  111.6003445,  113.4241673
225.5000000,  115.2839347,  117.1201624
226.5000000,  117.9698485,  118.4328574
227.5000000,  117.9134875,  119.6999226
228.5000000,  122.4926016,  123.9300244
229.5000000,  125.4175994,  124.6116877
230.5000000,  128.8093242,  127.4607474
231.5000000,  129.9082706,  128.2213620
232.5000000,  129.1132430,  132.2739925
233.5000000,  131.6547099,  134.8576514
234.5000000,  133.6018517,  136.4770247
235.5000000,  136.0455425,  137.3110690
236.5000000,  137.3902789,  137.4791264
237.5000000,  136.4800668,  135.0228531
238.5000000,  135.8485135,  138.1493839
239.5000000,  136.6988595,  138.4853644
240.5000000,  136.9840984,  137.4515720
241.5000000,  136.3885790,  135.6117860
242.5000000,  134.6595057,  135.6609010
243.5000000,  134.4501894,  133.2402750
244.5000000,  131.4678856,  130.7896529
245.5000000,  128.3412010,  130.5098828
246.5000000,  127.2486693,  127.0420143
247.5000000,  125.0392338,  124.7271700
248.5000000,  121.6799768,  120.2272648
249.5000000,  118.8669140,  119.3286776
250.5000000,  114.3034971,  115.8982686
251.5000000,  111.4140257,  110.6745939
252.5000000,  108.7163862,  108.1797078
253.5000000,  104.8253887,  104.5994056
254.5000000,  101.8611376,  103.1058820
255.5000000,  99.53329301,  97.84549685
256.5000000,  95.52556244,  95.73225715
257.5000000,  92.72671389,  93.15406711
258.5000000,  88.80341749,  88.72222050
259.5000000,  88.72020445,  88.31061932
260.5000000,  86.77909176,  86.08141462
261.5000000,  84.49796234,  83.21630672
262.5000000,  81.37738794,  81.92841307
263.5000000,  79.69273315,  79.40799186
264.5000000,  80.05211666,  77.62190465
265.5000000,  78.20400236,  77.54062446
266.5000000,  77.76856245,  75.75874486
267.5000000,  78.07128251,  75.77586586
268.5000000,  76.98337433,  75.11710150
269.5000000,  76.65436873,  74.61879725
270.5000000,  78.25817781,  75.91964757
271.5000000,  77.30163857,  77.26782218
272.5000000,  78.80721756,  77.36391177
273.5000000,  79.63710936,  78.67187457
274.5000000,  82.09028191,  80.52227073
275.5000000,  82.74693524,  80.97924765
276.5000000,  84.64746526,  81.67672587
277.5000000,  85.26043363,  83.50099345
278.5000000,  86.96006100,  85.83993056
279.5000000,  89.82117895,  88.51089027
280.5000000,  91.06832400,  89.80735950
281.5000000,  94.04116651,  90.84136865
282.5000000,  95.86466482,  93.32926474
283.5000000,  98.28451401,  95.95771386
284.5000000,  99.47455669,  97.50426683
285.5000000,  101.9993790,  98.88971031
286.5000000,  104.0018402,  99.87190574
287.5000000,  105.4569555,  102.4988447
288.5000000,  108.9345903,  104.5038686
289.5000000,  110.3342184,  105.8725826
290.5000000,  110.1232788,  109.3132025
291.5000000,  111.9217168,  109.2489012
292.5000000,  114.9522110,  111.2029079
293.5000000,  115.8808187,  114.2145815
294.5000000,  115.2243126,  112.8444703
295.5000000,  118.5036847,  115.2521625
296.5000000,  119.5231417,  113.7416540
297.5000000,  119.5834057,  115.8092591
298.5000000,  119.2307479,  116.5334932
299.5000000,  120.3511390,  116.6871847
300.5000000,  122.5009908,  116.3194690
301.5000000,  119.9755781,  116.6525069
302.5000000,  119.7501775,  115.3808041
303.5000000,  119.2666017,  116.0489698
304.5000000,  118.7917940,  116.5023906
305.5000000,  118.5966247,  114.2949580
306.5000000,  119.8132118,  113.2934390
307.5000000,  116.7548228,  111.4318534
308.5000000,  115.4603623,  111.7378177
309.5000000,  114.7232421,  110.1485801
310.5000000,  113.8349815,  108.3443541
311.5000000,  111.9515433,  109.9248296
312.5000000,  110.5631068,  107.5311625
313.5000000,  109.9518453,  106.3655281
314.5000000,  109.5245701,  103.3856965
315.5000000,  107.8129119,  102.5201589
316.5000000,  105.3972470,  101.8519930
317.5000000,  105.1638098,  100.8343847
318.5000000,  103.1909891,  100.9312782
319.5000000,  101.4775418,  98.97324512
320.5000000,  100.3684869,  97.54622116
321.5000000,  99.11803417,  94.17852166
322.5000000,  98.26050716,  93.95140749
323.5000000,  96.50281546,  94.17215651
324.5000000,  94.66812951,  91.57419314
325.5000000,  92.56727526,  91.17503935
326.5000000,  92.54613202,  89.64539754
327.5000000,  91.42905329,  89.28775865
328.5000000,  91.07524916,  87.32534604
329.5000000,  88.75412583,  85.48804704
330.5000000,  88.69603418,  84.74192081
331.5000000,  87.11578325,  84.14686533
332.5000000,  85.71512959,  83.91858061
333.5000000,  83.94639990,  82.21906531
334.5000000,  83.21282628,  81.30074989
335.5000000,  83.10244142,  80.92038782
336.5000000,  81.82204028,  80.45350391
337.5000000,  82.21258521,  80.21252482
338.5000000,  83.14267355,  79.72966519
339.5000000,  80.45083268,  79.23276776
340.5000000,  79.98874707,  79.00544277
341.5000000,  80.50359624,  78.13832524
342.5000000,  79.62435432,  77.39781440
343.5000000,  78.39748556,  76.82689696
344.5000000,  79.16284795,  77.92355015
345.5000000,  79.61282729,  76.02473585
346.5000000,  79.02190707,  76.38890355
347.5000000,  78.27701438,  76.08606918
348.5000000,  77.89820639,  76.35864603
349.5000000,  78.01364476,  76.85947093
350.5000000,  77.95362265,  77.13091720
351.5000000,  77.90785767,  76.83289917
352.5000000,  76.23467818,  75.06368092
353.5000000,  76.29032689,  75.96709921
354.5000000,  76.88215601,  75.64145053
355.5000000,  77.46354294,  75.59124018
356.5000000,  76.98494169,  76.84612875
357.5000000,  76.32647383,  75.42971192
358.5000000,  77.20754769,  76.17768371
359.5000000,  77.54332864,  75.24810656
